Pos,Team,Player,Salary,projOwn%,actualOwn%,Diff,Proj,Scored,dk_id,dk_player_name,dk_name_plus_id,dk_team_abbr,dk_salary,dk_slate_date,dk_game_key,salary_diff,candidate_count,best_tie_count,match_method,match_status
F,,Chase McCarty,"$3,800",0.05%,0%,0%,10.47,12.25,42168779,Chase McCarty,Chase McCarty (42168779),UH,3800,2026-03-04,BAY@UH,0.0,5,1,exact_name,matched
G,,Benny Gealer,"$7,100",32.55%,0.69%,-31.90%,30.03,12.0,42168579,Benny Gealer,Benny Gealer (42168579),STAN,7100,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
G,,Darius Adams,"$4,900",6%,0%,0%,16.03,12.0,42168682,Darius Adams,Darius Adams (42168682),UMD,4900,2026-03-04,UMD@WISC,0.0,4,1,exact_name,matched
F,,Nick Pringle,"$3,300",2.85%,0%,0%,7.29,12.0,42168836,Nick Pringle,Nick Pringle (42168836),ARK,3300,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Jaylen Thompson,"$3,300",0.65%,0%,0%,7.71,12.0,42168846,Jaylen Thompson,Jaylen Thompson (42168846),STAN,3300,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
G,,Kam Woods,"$6,900",1%,0%,0%,25.76,11.75,42168589,Kam Woods,Kam Woods (42168589),USC,6900,2026-03-04,USC@UW,0.0,3,1,exact_name,matched
F,,Caedin Hamilton,"$3,400",0.45%,0%,0%,4.83,11.75,42168824,Caedin Hamilton,Caedin Hamilton (42168824),MARQ,3400,2026-03-04,MARQ@PROV,0.0,2,1,exact_name,matched
G,,Simeon Wilcher,"$3,700",1.30%,0%,0%,10.71,11.5,42168784,Simeon Wilcher,Simeon Wilcher (42168784),TEX,3700,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Carson Towt,"$5,400",10.10%,0%,0%,23.36,11.25,42168654,Carson Towt,Carson Towt (42168654),ND,5400,2026-03-04,STAN@ND,0.0,1,1,exact_name,matched
F,,Nikola Dzepina,"$3,500",0.91%,9.03%,8.10%,4.33,11.25,42168812,Nikola Dzepina,Nikola Dzepina (42168812),UW,3500,2026-03-04,USC@UW,0.0,2,1,exact_name,matched
F,,Jamier Jones,"$7,200",0.15%,0%,0%,23.47,11.0,42168575,Jamier Jones,Jamier Jones (42168575),PROV,7200,2026-03-04,MARQ@PROV,0.0,1,1,exact_name,matched
F,,Aidan Cammann,"$5,500",21.85%,20.23%,-1.60%,18.43,10.75,42168646,Aidan Cammann,Aidan Cammann (42168646),STAN,5500,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
F,,Camden Heide,"$4,000",3%,0%,0%,9.66,10.75,42168759,Camden Heide,Camden Heide (42168759),TEX,4000,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
F,,Tre Singleton,"$4,900",1.55%,0%,0%,17.32,10.75,42168684,Tre Singleton,Tre Singleton (42168684),NW,4900,2026-03-04,PUR@NW,0.0,1,1,exact_name,matched
G,,Jason Edwards,"$6,500",2.70%,20%,17.30%,23.95,10.5,42168606,Jason Edwards,Jason Edwards (42168606),PROV,6500,2026-03-04,MARQ@PROV,0.0,1,1,exact_name,matched
G,,Kruz McClure,"$3,700",0.79%,0%,0%,11.21,10.5,42168786,Kruz McClure,Kruz McClure (42168786),DPU,3700,2026-03-04,VU@DPU,0.0,1,1,exact_name,matched
F,,Malique Ewin,"$5,200",6.55%,37.71%,31.20%,24.8,10.25,42168666,Malique Ewin,Malique Ewin (42168666),ARK,5200,2026-03-04,TEX@ARK,0.0,4,1,exact_name,matched
G,,Ryan Agarwal,"$3,800",2.20%,0%,0%,17.81,10.25,42168771,Ryan Agarwal,Ryan Agarwal (42168771),STAN,3800,2026-03-04,STAN@ND,0.0,2,1,exact_name,matched
F,,AJ Swinton,"$4,200",0.20%,0%,0%,11.71,10.25,42168739,AJ Swinton,AJ Swinton (42168739),FSU,4200,2026-03-04,FSU@PITT,0.0,1,1,exact_name,matched
G,,Langston Reynolds,"$7,600",2.80%,0%,0%,27.57,10.0,42168557,Langston Reynolds,Langston Reynolds (42168557),MINN,7600,2026-03-04,MINN@IU,0.0,2,1,exact_name,matched
G,,Jerry Easter II,"$3,900",0.25%,0%,0%,6.49,10.0,42168769,Jerry Easter II,Jerry Easter II (42168769),USC,3900,2026-03-04,USC@UW,0.0,3,1,exact_name,matched
G,,Zach Kinziger,"$3,000",0%,0%,0%,0.0,10.0,42169155,Zach Kinziger,Zach Kinziger (42169155),WISC,3000,2026-03-04,UMD@WISC,0.0,3,1,exact_name,matched
F,,Reed Bailey,"$3,700",1.15%,0%,0%,9.32,8.75,42168788,Reed Bailey,Reed Bailey (42168788),IU,3700,2026-03-04,MINN@IU,0.0,3,1,exact_name,matched
